Respondent ID,Age,Annual Income,Financial Responsibility,On-Time Payment,Credit Utilization,Credit Score
R661,38,1488.48,4,57.22,9.21,895
R662,33,1836.26,8,89.2,81.53,976
R663,38,523.43,1,70.97,89.44,471
R664,28,627.58,9,75,82.36,609
R665,54,1948.51,1,89.25,89.88,929
R666,53,525.76,8,79.94,55.31,611
R667,52,1737.89,4,60.05,81.23,854
R668,36,1086.1,9,79.51,38.4,822
R669,37,645.02,5,70.38,66.63,584
R670,35,1767.35,3,73.48,98.88,864
R671,64,1001.55,9,51.42,22.57,767
R672,58,1126.67,9,60.5,38.99,790
R673,31,846.62,4,64.05,48,647
R674,32,1267.31,4,85.65,13.8,863
R675,48,494.34,8,50.57,8.1,617
R676,18,903.95,2,70.44,82.97,604
R677,20,1944.94,9,96.2,97.68,1017
R678,33,664.64,6,55.59,40.47,600
R679,40,1382.13,9,75.82,8.76,948
R680,28,785.34,8,89.33,6.58,779
R681,29,1592.25,7,97.13,89.13,918
R682,27,435.57,1,87.34,,552
R683,49,1945.68,3,86.03,,1020
R684,33,1016.82,2,91.32,47.65,733
R685,25,624.89,5,72.31,31.83,637
R686,55,332.29,5,,48.9,533
R687,29,505.56,5,50.4,85.96,474
R688,41,1135.59,,96.23,59.23,792
R689,45,806.61,5,72.17,69.47,640
R690,25,1691.99,,77.67,36.47,969
R691,45,975.6,1,62.74,73.85,615
R692,53,647.69,5,87.13,66.66,609
R693,43,1310.86,9,53.83,,826
R694,25,1472.2,9,93.63,57.26,934
R695,45,500.68,4,91.41,25.67,625
R696,45,501.71,3,60.8,80.41,480
R697,54,266.01,1,90.47,42.59,496
R698,58,1525.52,2,89.32,99.47,800
R699,53,1394.85,8,81.61,9.25,948
R700,44,1054.34,1,68.68,78.03,644
R701,34,1719.51,8,63.57,67.37,914
R702,26,1650.21,7,61.59,76.75,871
R703,50,1253.64,8,,30.75,856
R704,37,1762.89,6,95.18,49.21,995
R705,30,570.51,9,,79.65,592
R706,45,401.46,3,91.44,23.25,601
R707,46,685.55,10,,22.6,730
R708,30,302.76,4,76.08,55.11,495
R709,63,1156.11,6,89.72,,820
R710,52,1885.89,8,94.22,28.23,1100
R711,23,270.82,5,,29.81,543
R712,35,419.8,3,73.09,27.78,564
R713,22,1013.96,6,70.73,77.15,694
R714,64,1880.98,4,50.66,65.19,904
R715,42,769.08,9,64.8,83.24,627
R716,19,1113.02,3,72.96,97.55,663
R717,27,274.83,4,70.55,47.42,488
R718,47,467.02,7,86.1,6.67,678
R719,62,1975.93,7,69.24,4.81,1101
R720,22,1937.21,,74.47,29.57,1048
R721,50,208.89,6,71.48,93.25,427
R722,18,1913.26,3,87.03,52.32,1003
R723,35,1350.42,6,93.15,27.18,900
R724,49,1762.25,2,76.59,39.92,946
R725,64,1018.53,8,89.47,59.86,768
R726,28,1128.07,,64.84,65.29,716
R727,38,1079.92,7,77.07,15.39,824
R728,43,1400.36,9,67.26,97.7,806
R729,42,451.37,1,70.71,54.48,499
R730,39,253.95,8,86.62,13.57,605
R731,44,754.27,7,94.08,89.36,653
R732,30,1468.43,6,56.07,7.46,893
R733,50,563.34,6,81.73,90.77,558
R734,51,1412.18,6,,99.66,788
R735,58,1945.84,9,,70.04,1019
R736,52,369.02,2,60.59,77.04,427
R737,18,1410.68,,65.55,33.73,853
R738,38,998.75,6,58.35,94.16,632
R739,23,1762.66,10,62.19,52.97,966
R740,45,518.87,8,63.38,73.24,553
R741,34,1446.73,3,66.78,92.41,762
R742,22,1708.61,10,87.47,97.52,938
R743,48,1900.31,1,78.6,83.32,908
R744,22,1429.85,9,99.31,30.3,975
R745,55,1094.91,1,70.74,96.65,642
R746,20,1312.13,3,87.69,62.81,807
R747,40,1764.03,8,93.57,93.06,958
R748,54,1227.1,,83.95,67.61,799
R749,54,254.7,4,70.59,30.72,501
R750,27,1875.71,8,87.68,37,1070
R751,27,1441.15,1,60.18,55.05,770
R752,36,,,66.38,,739
R753,34,588.22,1,77.33,31.8,592
R754,38,1385.99,1,78.77,57.97,788
R755,31,908.96,8,51.11,34.56,712
R756,26,1372.22,4,97.26,,871
R757,63,391.87,1,84.83,46.67,519
R758,18,1384.12,10,74.79,,886
R759,62,1998.94,7,96.66,16.61,1133
R760,30,286.78,5,71.95,6.11,571
R761,21,1958.91,5,99.02,49.93,1050
R762,18,932.43,1,75.61,10.63,730
R763,57,1767.36,10,55.71,11.41,1018
R764,49,,6,88.24,94.1,725
R765,51,1220.63,9,83.94,87.27,792
R766,45,1529.21,9,88.65,45.21,960
R767,48,1781.33,8,97.57,98.58,965
R768,25,927.45,5,88.82,0.02,806
R769,56,788.66,1,80.57,61.4,609
R770,43,1401.67,9,92.87,61.64,897
R771,51,1654.12,,83.66,45.74,956
R772,20,1572.11,8,70.41,39.69,933
R773,29,1636.06,5,94.28,45.54,953
R774,18,984.05,3,61.1,41.5,681
R775,61,1672.1,7,85.73,73.05,939
R776,22,416.38,7,94.08,13.54,670
R777,47,,9,86.57,19.76,872
R778,47,210.37,7,84.86,18.05,565
R779,34,784.25,3,87.63,26.25,695
R780,64,859.63,1,73.25,52.53,626
R781,40,913.11,8,93.71,11.12,814
R782,32,1451.84,3,60.17,86.82,751
R783,54,899.4,8,56.37,29.74,717
R784,38,1007.65,8,64.28,16.25,786
R785,31,,5,76.58,67.56,741
R786,19,871.85,1,75.53,3.81,722
R787,28,609.09,10,91.03,62,662
R788,56,331.75,7,,69.82,512
R789,55,1286.21,10,74.22,21.49,898
R790,51,1402.78,5,50.67,4.2,864
R791,55,1315.08,8,70.49,36.36,870
R792,51,1034.29,9,82.39,9.86,842
R793,35,883.61,7,50.78,11.65,720
R794,47,1754,7,64.04,25.43,978
R795,32,1134.35,1,60.4,29.55,726
R796,44,1062.53,4,,53,732
R797,51,246.16,2,,67.84,437
R798,55,814.25,2,59.09,59.28,598
R799,50,884.35,2,87.15,14.84,746
R800,41,917.88,4,92.4,17.21,781
R801,32,1244.31,1,77.28,87.88,699
R802,47,1160.48,4,99.09,55.84,797
R803,59,1294.23,2,72.52,86.99,732
R804,34,1576.79,5,75.67,37.15,922
R805,22,1663.37,3,99.46,61.44,925
R806,46,1492.62,8,61.58,52.37,864
R807,21,1919.94,4,97.13,31.91,1056
R808,27,232.82,1,52.14,46.99,419
R809,34,552.4,1,72.32,,550
R810,27,213.61,10,53.5,20.08,538
R811,34,1365.45,3,86.46,31.5,857
R812,37,1816.45,,80.42,79.14,943
R813,41,638.27,7,85.33,91.58,586
R814,22,1868.66,2,68.72,,944
R815,51,308.48,,68.47,30.7,529
R816,23,1881.98,10,52.27,19.52,1043
R817,19,,2,67.5,67.85,687
R818,30,382.56,3,96.46,,572
R819,60,1074.57,10,68.96,98.77,717
R820,60,662.2,2,91.57,32.57,659
R821,28,712.77,3,92.12,39.41,664
R822,64,753.12,6,68.66,60.33,634
R823,40,1645.45,,81.6,80.17,884
R824,33,1170.49,9,54.77,46.95,778
R825,48,760.35,7,55.18,42.27,644
R826,28,1298.6,3,52.43,99.56,673
R827,33,1489.07,4,79.05,1.05,939
R828,25,690.72,6,71.3,89.51,579
R829,21,944.39,5,77.4,14.91,762
R830,57,419.39,2,76.05,78.59,488
R831,21,526.07,6,67.51,61.79,560
R832,42,1426.01,3,83.87,34.18,868
R833,20,526.59,8,87.93,,631
R834,49,1145.29,2,50.73,1.29,762
R835,20,1476.28,1,60.36,22.67,844
R836,44,392.38,9,85.66,56.69,596
R837,46,1221.16,3,69.33,35.15,779
R838,49,661.81,1,83.12,61.04,581
R839,36,1933.27,7,67.35,2.41,1081
R840,38,1070.38,10,69.54,11.65,842
R841,22,1650.79,5,57.93,12.71,947
R842,35,1190.41,5,62.91,18.93,803
R843,45,278.14,1,80.27,45.93,486
R844,59,1339.67,,71.66,75.21,781
R845,39,1912.53,7,88.72,90.55,986
R846,38,1282.9,8,92.63,83.54,823
R847,23,1674.54,9,77.08,19.69,1023
R848,18,1791.57,6,87.91,44.12,1014
R849,22,610.54,5,65.35,19.94,626
R850,58,581.68,6,70.75,26.45,634
R851,29,1299.77,2,85.64,50.35,801
R852,43,939.85,4,69.31,6.81,757
R853,63,1711.75,3,79.43,21.82,966
R854,51,1820.04,7,,93.54,927
R855,31,836.16,9,79.99,46.61,726
R856,43,626.37,5,93.08,44.54,655
R857,62,1604.95,6,,1.46,988
R858,44,694.65,10,86.22,24.74,735
R859,26,1680.71,2,87.29,86.63,874
R860,43,962.73,3,77.9,16.46,740
R861,64,1401.59,3,79.23,,839
R862,39,371.96,9,56.68,1.43,615
R863,64,1322.95,7,72.19,47.83,846
R864,47,1013.18,8,72.54,2.1,830
R865,60,,10,97.92,81.96,814
R866,34,502.43,9,71.55,82.49,553
R867,43,1526.37,6,77.47,78.77,863
R868,53,1753.03,4,76.66,28.34,971
R869,18,590.13,1,81.84,83.72,520
R870,25,372.29,8,87.41,54.3,585
R871,52,242.55,7,61.25,37.38,515
R872,32,1355.55,2,76.44,62.53,777
R873,64,1292.77,8,91.3,1.23,950
R874,39,1184.06,5,73.16,14.3,822
R875,31,617.5,7,63.92,74.23,576
R876,43,903.63,4,82.74,24.42,743
R877,45,1270.06,5,91.19,59.8,823
R878,40,1094.18,8,53.16,38.51,763
R879,31,1978.01,1,88.84,85.48,956
R880,41,445.59,1,91.08,95.24,476
R881,19,1451.26,4,73.08,,853
R882,62,927.77,3,99.17,27.06,771
R883,43,970.76,10,,19.42,820
R884,31,1491.68,2,88.68,47.44,871
R885,24,1446.39,3,87.39,0.73,929
R886,20,1984.26,1,57.53,2.58,1025
R887,64,431.11,1,60.86,,489
R888,40,387.4,,73.2,52.04,531
R889,63,1503.81,5,63.2,99.46,774
R890,60,1241.1,8,70.76,20.18,858
R891,64,693.49,2,94.42,25.81,676
R892,62,342.95,4,91.22,11.35,609
R893,35,354.18,8,81.5,91.75,515
R894,55,1809.54,6,92.91,77.78,982
R895,52,545.36,1,89.19,82.23,537
R896,32,782.07,4,71.45,90.28,574
R897,42,607.98,1,60.05,52.49,532
R898,54,838.99,2,75.71,45.12,645
R899,45,324.96,5,86.81,33.04,579
R900,27,1134.31,8,71.82,58.92,783
R901,56,321.7,8,83.34,45.43,577
R902,34,1640.64,3,54.72,45.16,864
R903,56,620.68,,,93.69,542
R904,39,1172.02,10,90.64,,867
R905,43,,6,85.34,79.65,748
R906,61,,10,98.36,75.68,819
R907,42,1159.32,3,,68.06,732
R908,34,783.8,2,95.15,16.61,720
R909,30,799.4,,96.68,5.91,773
R910,37,1405.08,5,90.07,69.07,848
R911,42,1989.45,10,83.71,72.88,1046
R912,21,1391.31,5,50.29,4.7,864
R913,27,1204.01,10,73.29,92.81,758
R914,20,1515.17,5,78.56,9.11,943
R915,58,1037.37,10,65.2,,758
R916,62,308.26,5,65.91,67.24,479
R917,35,1212.13,3,98.06,16.99,862
R918,64,1923.73,7,94.59,5.54,1129
R919,53,515.55,6,92.46,33.11,649
R920,64,1442.01,4,,76.6,818
R921,39,561.68,2,50.68,41.37,522
R922,51,1164.49,9,54.01,65.3,739
R923,64,374.02,1,65.61,57.96,462
R924,25,1010.67,4,50.79,2.22,742
R925,57,1561.09,1,50.86,98.85,740
R926,61,825.63,6,95.83,4.14,801
R927,36,1396.84,4,85.31,,862
R928,59,1631.81,5,,54.99,902
R929,58,1868.92,5,56.63,96.32,871
R930,54,622.36,9,75.58,11.48,700
R931,23,918.77,1,50.27,49.04,619
R932,43,474.35,2,96.92,16.95,640
R933,51,1986.47,6,70.74,5.1,1093
R934,62,1868.6,,70.12,61.75,959
R935,23,1171.92,7,69.53,20.78,819
R936,54,1715.66,3,53.47,58.77,872
R937,50,1137.72,3,81.92,11.24,821
R938,39,1322.45,10,86.65,33.2,913
R939,38,360.42,2,83.81,78.16,472
R940,23,1559.49,3,56.92,43.71,848
R941,23,429.88,10,78.94,62.77,596
R942,21,1686.92,1,78.47,64.75,870
R943,47,1607.65,5,93.42,84.38,882
R944,28,1475.74,5,68.96,32.49,889
R945,47,265.09,7,68.57,68.73,485
R946,48,,4,80.93,96.16,684
R947,41,673.6,3,81.65,73.02,589
R948,26,848.25,,73.46,48.99,687
R949,20,357.76,8,72.15,63.07,542
R950,48,1886.52,3,74.71,73.97,933
R951,57,1196.84,2,93.05,61.23,771
R952,54,749.94,4,73.06,1.67,706
R953,53,914.57,3,97,19.48,775
R954,41,1004.96,1,75.2,81.05,646
R955,48,,,97.46,27.27,846
R956,23,,2,91.64,73.16,726
R957,19,1854.91,8,68.12,,1001
R958,37,1094.53,6,93.18,52.19,797
R959,45,1985.88,9,55.5,6.8,1089
R960,28,1732.56,8,96.25,18.12,1064
R961,21,575.32,10,81.58,95.72,600
R962,32,1875.07,3,52.72,89.01,855
R963,23,409.46,5,82.21,65.23,532
R964,47,1671.41,7,98.71,45.96,1007
R965,55,885.12,5,53.49,67.58,617
R966,19,1780.35,8,77.73,61.86,980
R967,32,1762.5,5,87.39,56.86,972
R968,28,1650.67,1,90.51,5.92,972
R969,25,,5,70.69,63.28,720
R970,43,748.42,4,60.21,76.89,564
R971,62,345.65,6,52.12,99.41,423
R972,61,925.36,3,78.99,1.11,754
R973,22,512.34,5,72.65,73.02,535
R974,23,1450.91,2,97.44,57.18,864
R975,43,822.98,6,53.03,43.41,643
R976,21,1956.1,6,84.27,12.76,1089
R977,36,1353.75,5,51.25,40.91,806
R978,37,1680.47,6,58.57,35.44,924
R979,50,438.54,7,72.68,30.28,594
R980,37,1751.63,5,72.74,73.09,912
R981,29,1860.96,1,84.29,70.07,925
R982,64,1076.71,8,95.51,58.9,813
R983,18,1291.26,4,81.95,93.87,744
R984,43,1576.66,9,97.68,34.99,1013
R985,31,514.71,10,94.08,24.38,716
R986,55,1104.62,6,79.22,65.59,743
R987,54,917.59,1,91.69,19.88,738
R988,28,463.47,,82.13,31.5,606
R989,53,861.56,3,53.93,22.46,668
R990,30,,10,87.03,6.92,893
R991,60,246.46,4,54.75,82.75,409
R992,20,443.3,6,79.7,25.45,612
R993,50,1933.61,7,85.13,47.3,1048
R994,23,1189.15,10,53.33,4.33,858
R995,27,1938.48,4,61.54,69.93,943
R996,22,978.5,6,95.78,33.06,789
R997,40,761.27,1,80.82,74.47,580
R998,27,1111.06,8,62.31,41.24,773
R999,61,991.12,7,84.53,19.58,816
R1000,19,390.2,9,79.84,51.32,588
